<TM-321>	Valle del Titerno
<TM-322>	Strategematon libri
<TM-323>	Roberto Casari
<TM-324>	Domenico Di Gioia
<TM-325>	Corneille Bentivoglio d'Aragona
<TM-326>	La Pulchérie
<TM-327>	Angelo Canori
<TM-328>	Colonia infantile provinciale Miralago
<TM-329>	Lydia Toraldo Serra
<TM-330>	Maura Dal Pozzo d'Annone
<TM-331>	Paraphrasis Evangelii secundum Joannem
<TM-332>	Luigi Orazio Ferlauto
<TM-333>	Fondo Chigi
<TM-334>	Gerardo Mombelli
<TM-335>	Sergio Bramini
<TM-336>	Calogero Boccadutri
<TM-337>	Gerace monsignor Vincenzo Nadile
<TM-338>	Archivio storico diocesano di Locri
<TM-339>	Egoitaliano <azienda>
<TM-340>	Ricerca sociologica
<TM-341>	Vigolungo <famiglia>
<TM-342>	Associazione Scuole e Lavoro
<TM-343>	Mariella Di Maio
<TM-344>	Antonietta Cargnel
<TM-345>	Descrizione itineraria del pellegrinaggio per Bari e Monte S. Angelo
<TM-346>	Nedo Ludi
<TM-347>	Enrico Macis
<TM-348>	Guido Valensin
<TM-349>	Peppino Capobianco
<TM-350>	Ente nazionale per l'artigianato e le piccole industrie
<TM-351>	Fazzari <famiglia>
<TM-352>	Consorteria delle compagnie laicali <Siena>
<TM-353>	Associazione magistrale italiana Nicolò Tommaseo
<TM-354>	Enciclica Veritatis splendor
<TM-355>	Centro ricerche e documentazione rischi e danni da lavoro
<TM-356>	Tapika
<TM-357>	Direzione nazionale
<TM-358>	Giovanni Battista Verda
<TM-359>	José de Calasanz <santo>
<TM-360>	Quintino Gianfreda
<TM-361>	Collegio dei ragionieri e dei periti commerciali della provincia di Bari
<TM-362>	Collezione Spannocchi
<TM-363>	Villano con la botticella
<TM-364>	Antonia Costa Galera
<TM-365>	Marzio Tamer
<TM-366>	Felice Feltracco
<TM-367>	Alfredo Puerari
<TM-368>	Quirino Gnutti
<TM-369>	Funes el memorioso
<TM-370>	Lo sposo burlato
<TM-371>	Lorenzo Foglio
<TM-372>	MVM Cappellin <vetreria>
<TM-373>	Società per la cremazione <Cremona>
<TM-374>	Eccidio di Casale di Brisighella
<TM-375>	Èzio
<TM-376>	Enrico Grassi Statella
<TM-377>	Angelo Garoglio
<TM-378>	Enzo Muscia
<TM-379>	Mario Pozzan
<TM-380>	Guidotto Prestinari
<TM-381>	Giacomo Fei <tipografia>
<TM-382>	Franco Io
<TM-383>	Julian Sinanaj
<TM-384>	Gabriele Maquignaz
<TM-385>	Letteratura drammatica romena
<TM-386>	Ritratto allegorico di Dante
<TM-387>	Angiolo Bronzino
<TM-388>	Federigo Barbolani di Montauto
<TM-389>	Stamperia litografia Angeli
<TM-390>	Val di Serchio
<TM-391>	Divo Stagi
<TM-392>	Massimo Caggiano
<TM-393>	Ultrablu <associazione>
<TM-394>	Edgardo Zauli Sajani
<TM-395>	L. Ottavio Cornelio Salvio Giuliano
<TM-396>	Liber singularis de ambiguitatibus
<TM-397>	El Equipo Mazzanti <studio di architettura>
<TM-398>	Iaia Filiberti
<TM-399>	Masal Pas Bagdadi
<TM-400>	Marcella Milani
<TM-401>	Partito liberale democratico svizzero
<TM-402>	Francesco Terrone
<TM-403>	Comunità Casa del Giovane <Pavia>
<TM-404>	Mauro Bonzi
<TM-405>	Faustino Savoldi
<TM-406>	Gruppo battaglioni San Marco Ennepi
<TM-407>	Young Lords Organization <Chicago>
<TM-408>	Crescenzo Formicola
<TM-409>	Liceo classico statale Cesare Beccaria <Milano>
<TM-410>	Rino Valido
<TM-411>	Pietro Messori
<TM-412>	Villa Giardini Casinalbio <Formigine>
<TM-413>	Vincenzo Porti
<TM-414>	Maria Teresa d' <duchessa di Modena e Reggio> Este Cybo
<TM-415>	Le neveu de Rameau
<TM-416>	Dipartimento di economia Marco Biagi
<TM-417>	Collezione Thannhauser
<TM-418>	Guido Bertero
<TM-419>	Franco Guerzoni
<TM-420>	La donna delinquente la prostituta e la donna normale
<TM-421>	Maurizio Iazeolla
<TM-422>	Medagliere Orsini
<TM-423>	Fondo Villarosa
<TM-424>	Flavio Planciade Fulgenzio
<TM-425>	Mythologiarum libri tres
<TM-426>	Guido Sacerdoti
<TM-427>	Norme di buona creanza
<TM-428>	Saper vivere
<TM-429>	Guido Sorvino
<TM-430>	Chronicon Parmense
<TM-431>	Rosina Pignatelli
<TM-432>	Giuseppe Boezio
<TM-433>	Politische Stimmungen
<TM-434>	La scienza e la vita
<TM-435>	Liber de vera fidelium experientia
<TM-436>	Vittorio Folinea
<TM-437>	Girolamo Macchi
<TM-438>	Giuliano Anniballi
<TM-439>	L'ombra di Dante
<TM-440>	Rifermenti
<TM-441>	Luigi Scullica
<TM-442>	Carmelo Clemente
<TM-443>	Studio MK <studio di architettura>
<TM-444>	Die Schlafenden
<TM-445>	Taddeo Duni
<TM-446>	Tama Ragusa
<TM-447>	Bertoja
<TM-448>	Sofia Pescatori
<TM-449>	Guido Anelli
<TM-450>	Tractatus de ornatu mulierum
<TM-451>	Maestà Mariana
<TM-452>	Giovanni Alfonso Samarco
<TM-453>	Museo Alberto Sordi <Roma>
<TM-454>	Collezione Perino
<TM-455>	Collezione Lanfranco Bolis
<TM-456>	Poemetti
<TM-457>	Vincenzo Orioles
<TM-458>	Telesio Interlendi
<TM-459>	Nino Marano
<TM-460>	Blagaja vestʹ
<TM-461>	Seminario vescovile di Lodi
<TM-462>	Angelo Gherardi
<TM-463>	Centri di aiuto alla vita
<TM-464>	Emidio Ferretti
<TM-465>	Archivio storico del comune di Cesena
<TM-466>	Comunità Missionaria dei Preti del Sacro Cuore
<TM-467>	Fraternità Sacerdotale San Pio
<TM-468>	Jean Léon Dehon
<TM-469>	Lettera a un ministro
<TM-470>	Archivio fotografico italiano
<TM-471>	Giovanni Petrali
