<http://viaf.org/viaf/792949>	Abramo Massalongo
<http://viaf.org/viaf/32104723>	Abramo Ortelio
<http://viaf.org/viaf/7379160>	Abramo Portaleone
<http://viaf.org/viaf/289204405>	Abril Tirado
<http://viaf.org/viaf/388156858610849780003>	Abril Zamora
<http://viaf.org/viaf/62655753>	Absadi
<http://viaf.org/viaf/56636061>	Abu al-Qasim al-Zahrawi
<http://viaf.org/viaf/79112004>	Abu Bakr Muhammad Ibn Sirin Al-Ansari
<http://viaf.org/viaf/17264130>	Abū Firās al-Hamdānī
<http://viaf.org/viaf/71401109>	Abu l-A'la Maududi
<http://viaf.org/viaf/17355947>	Abu Ma'shar al-Balkhi
<http://viaf.org/viaf/49358074>	Abulfeda
<http://viaf.org/viaf/39394539>	Aby Warburg
<http://viaf.org/viaf/307330306>	Acabren
<http://viaf.org/viaf/142699073>	Academia Belgica
<http://viaf.org/viaf/123764166>	Academia de la Llingua Asturiana
<http://viaf.org/viaf/151907306>	Academia Latinitati Fovendae
<http://viaf.org/viaf/133005870>	Academia Nacional de Medicina de México
<http://viaf.org/viaf/132536536>	Académie de France à Rome
<http://viaf.org/viaf/262373956>	Académie des sciences morales et politiques
<http://viaf.org/viaf/126246242>	Académie française
<http://viaf.org/viaf/125143376>	Académie Goncourt
<http://viaf.org/viaf/7741792>	Acardo di San Vittore
<http://viaf.org/viaf/307357141>	Acaste Bresciani
<http://viaf.org/viaf/123002324>	Accademia Albertina
<http://viaf.org/viaf/128730646>	Accademia Carrara
<http://viaf.org/viaf/173736003>	Accademia Carrara
<http://viaf.org/viaf/144052888>	Accademia degli Incamminati
<http://viaf.org/viaf/153800259>	Accademia degli Incogniti <Venezia>
<http://viaf.org/viaf/133592918>	Accademia degli Incolti
<http://viaf.org/viaf/254642268>	Accademia degli Infecondi
<http://viaf.org/viaf/137030971>	Accademia degli Intronati
<http://viaf.org/viaf/4159477772027990009>	Accademia dei Desiderosi
<http://viaf.org/viaf/147038156>	Accademia dei Filergiti
<http://viaf.org/viaf/24145858105123022738>	Accademia dei Filodrammatici
<http://viaf.org/viaf/133424975>	Accademia dei Fisiocritici
<http://viaf.org/viaf/159505618>	Accademia dei Fisiocritici
<http://viaf.org/viaf/149251098>	Accademia dei Georgofili
<http://viaf.org/viaf/138217907>	Accademia dei Sepolti
<http://viaf.org/viaf/157941540>	Accademia del Cimento
<http://viaf.org/viaf/143077072>	Accademia della Crusca
<http://viaf.org/viaf/253737696>	Accademia della Fucina
<http://viaf.org/viaf/295702998>	Accademia delle arti del disegno
<http://viaf.org/viaf/127702994>	Accademia delle scienze dell’Istituto di Bologna
<http://viaf.org/viaf/147024506>	Accademia delle Scienze di Berlino
<http://viaf.org/viaf/262635641>	Accademia delle Scienze di Berlino
<http://viaf.org/viaf/131912229>	Accademia delle scienze di Lisbona
<http://viaf.org/viaf/131268764>	Accademia delle scienze di San Pietroburgo
<http://viaf.org/viaf/158005777>	Accademia delle Scienze di Torino
<http://viaf.org/viaf/140146823>	Accademia di Agricoltura Scienze e Lettere di Verona
<http://viaf.org/viaf/148353750>	Accademia di belle arti di Brera
<http://viaf.org/viaf/158318591>	Accademia di Belle Arti di Carrara
<http://viaf.org/viaf/154589986>	Accademia di belle arti di Catanzaro
<http://viaf.org/viaf/127125463>	Accademia di belle arti di Firenze
<http://viaf.org/viaf/131595019>	Accademia di belle arti di Palermo
<http://viaf.org/viaf/167403747>	Accademia di Belle Arti di Parma
<http://viaf.org/viaf/169963347>	Accademia di belle arti di Roma
<http://viaf.org/viaf/165259815>	Accademia di belle arti di Urbino
<http://viaf.org/viaf/150737370>	Accademia di belle arti Pietro Vannucci <Perugia>
<http://viaf.org/viaf/132231900>	Accademia di costume e di moda
<http://viaf.org/viaf/141427224>	Accademia di studi italo-tedeschi
<http://viaf.org/viaf/125111655>	Accademia Etrusca
<http://viaf.org/viaf/295389703>	Accademia Europea di Bolzano
<http://viaf.org/viaf/154751280>	Accademia galileiana di scienze, lettere ed arti
<http://viaf.org/viaf/145471894>	Accademia Italiana del Flauto
<http://viaf.org/viaf/140541529>	Accademia Italiana di Scienze Forestali
<http://viaf.org/viaf/146154195>	Accademia La Colombaria
<http://viaf.org/viaf/134985277>	Accademia Ligure di Scienze e Lettere
<http://viaf.org/viaf/149064332>	Accademia ligustica di belle arti
<http://viaf.org/viaf/155605209>	Accademia Lucchese di Scienze Lettere e Arti
<http://viaf.org/viaf/140479974>	Accademia musicale chigiana
<http://viaf.org/viaf/154741898>	Accademia navale
<http://viaf.org/viaf/122391212>	Accademia Nazionale dei Lincei
<http://viaf.org/viaf/124371478>	Accademia nazionale delle scienze detta dei XL
<http://viaf.org/viaf/124416957>	Accademia Nazionale di Scienze, Lettere e Arti (Palermo)
<http://viaf.org/viaf/121874203>	Accademia nazionale di scienze, lettere ed arti di Modena
<http://viaf.org/viaf/132247726>	Accademia nazionale Virgiliana
<http://viaf.org/viaf/239120385>	Accademia Olimpica
<http://viaf.org/viaf/153732087>	Accademia Pascoliana
<http://viaf.org/viaf/123751112>	Accademia Petrarca di Lettere, Arti e Scienze
<http://viaf.org/viaf/136658123>	Accademia Pontaniana
<http://viaf.org/viaf/130746794>	Accademia reale del Belgio
<http://viaf.org/viaf/151296344>	Accademia Romanistica Costantiniana
<http://viaf.org/viaf/126682466>	Accademia scientifico-letteraria di Milano
<http://viaf.org/viaf/137263893>	Accademia spoletina
<http://viaf.org/viaf/132975381>	Accademia Veneziana
<http://viaf.org/viaf/132975381>	Accademia veneziana della Fama
<http://viaf.org/viaf/90391934>	Accademico Celeste
<http://viaf.org/viaf/90274822>	Accademico Incognito Vivo Morto
<http://viaf.org/viaf/257120327>	Accademico Pacifico
<http://viaf.org/viaf/90197887>	Accademico Sfregiato
<http://viaf.org/viaf/102317020>	Accursio
<http://viaf.org/viaf/58426006>	Accursio Corsini
<http://viaf.org/viaf/24769363>	Accursio Gennaro
<http://viaf.org/viaf/89500749>	Accurso di Cremona
<http://viaf.org/viaf/2128261>	Ace Mermolja
<http://viaf.org/viaf/51704488>	Achille Adriani
<http://viaf.org/viaf/90340777>	Achille Afan de Rivera
<http://viaf.org/viaf/96527298>	Achille Alberti
<http://viaf.org/viaf/56737221>	Achille Albonetti
<http://viaf.org/viaf/252161272037847440820>	Achille Angelini
<http://viaf.org/viaf/7244162181259708290002>	Achille Angelini
<http://viaf.org/viaf/307344506>	Achille Anselmo
<http://viaf.org/viaf/34468863>	Achille Ardigò
<http://viaf.org/viaf/90337643>	Achille Argentino
<http://viaf.org/viaf/69102773>	Achille Aveta
<http://viaf.org/viaf/90259040>	Achille Basile
<http://viaf.org/viaf/296712618>	Achille Bassi
<http://viaf.org/viaf/220276154>	Achille Battaglia
<http://viaf.org/viaf/37753592>	Achille Beltrame
<http://viaf.org/viaf/59482811>	Achille Beltrami
<http://viaf.org/viaf/307354274>	Achille Bertelli
<http://viaf.org/viaf/23170497>	Achille Bertini Calosso
<http://viaf.org/viaf/17341392>	Achille Bizzoni
<http://viaf.org/viaf/149878>	Achille Bocchi
<http://viaf.org/viaf/100160254>	Achille Bonito Oliva
<http://viaf.org/viaf/237582515>	Achille Boroli
<http://viaf.org/viaf/8274566>	Achille Calzi
<http://viaf.org/viaf/281372900>	Achille Campanile
<http://viaf.org/viaf/263713901>	Achille Castagnoli
<http://viaf.org/viaf/109927956>	Achille Castiglioni
<http://viaf.org/viaf/231697455>	Achille Cutrera
<http://viaf.org/viaf/95775670>	Achille D'Orsi
<http://viaf.org/viaf/39681445>	Achille Dardano
<http://viaf.org/viaf/71542122>	Achille De Giovanni
<http://viaf.org/viaf/70145003682661340023>	Achille de Grassi
<http://viaf.org/viaf/90382644>	Achille de Grassi
<http://viaf.org/viaf/29709430>	Achille de Jouffroy
<http://viaf.org/viaf/100251190>	Achille de Lauzières
<http://viaf.org/viaf/188874479>	Achille Donato Giannini
<http://viaf.org/viaf/29677426>	Achille Étienne Gigault de La Salle
<http://viaf.org/viaf/78644944>	Achille Fazzari
<http://viaf.org/viaf/233150391>	Achille Ferruzzi
<http://viaf.org/viaf/23508300>	Achille Fiocco
<http://viaf.org/viaf/35236582>	Achille Forti
<http://viaf.org/viaf/811571>	Achille Funi
<http://viaf.org/viaf/36144928028854340748>	Achille Gaggia
<http://viaf.org/viaf/56677129>	Achille Gagliardi
<http://viaf.org/viaf/260752619>	Achille Geremicca
<http://viaf.org/viaf/24827504>	Achille Giovanni Cagna
<http://viaf.org/viaf/71434106>	Achille Grandi
<http://viaf.org/viaf/32790842>	Achille Grassi
<http://viaf.org/viaf/34350045>	Achille Guzzardella
<http://viaf.org/viaf/307379815>	Achille Jemoli
<http://viaf.org/viaf/2163162181277508290008>	Achille Lauro
<http://viaf.org/viaf/812790>	Achille Lauro
<http://viaf.org/viaf/15596814>	Achille Lega
<http://viaf.org/viaf/25024732>	Achille Lizzi
<http://viaf.org/viaf/41411958>	Achille Longo
<http://viaf.org/viaf/90260483>	Achille Longo senior
<http://viaf.org/viaf/85172256>	Achille Loria
<http://viaf.org/viaf/57420376>	Achille Luciano Mauzan
<http://viaf.org/viaf/223122977>	Achille Maccapani
<http://viaf.org/viaf/13517468>	Achille Majeroni
<http://viaf.org/viaf/232893063>	Achille Majeroni
<http://viaf.org/viaf/304920683>	Achille Manara
<http://viaf.org/viaf/90227286>	Achille Manfredini
<http://viaf.org/viaf/202259453>	Achille Marazza
<http://viaf.org/viaf/2485210>	Achille Maria Triacca
<http://viaf.org/viaf/57654800>	Achille Mario Dogliotti
<http://viaf.org/viaf/71735972>	Achille Marozzo
<http://viaf.org/viaf/89293860>	Achille Mauri
<http://viaf.org/viaf/7512968>	Achille Millo
<http://viaf.org/viaf/117989756>	Achille Mirizio
<http://viaf.org/viaf/39365873>	Achille Monti
<http://viaf.org/viaf/79392817>	Achille Monti
<http://viaf.org/viaf/89244897>	Achille Muzio
<http://viaf.org/viaf/386>	Achille Neri
<http://viaf.org/viaf/64052491>	Achille Occhetto
<http://viaf.org/viaf/49273908>	Achille Olivieri
<http://viaf.org/viaf/36156374121707710003>	Achille Pace
<http://viaf.org/viaf/90258772>	Achille Palmerini
<http://viaf.org/viaf/24978653>	Achille Pellizzari
<http://viaf.org/viaf/3200365>	Achille Peri
<http://viaf.org/viaf/98113787>	Achille Perilli
<http://viaf.org/viaf/232762217>	Achille Quadrozzi
<http://viaf.org/viaf/4968942>	Achille Rastelli
<http://viaf.org/viaf/68959730>	Achille Richard
<http://viaf.org/viaf/90275222>	Achille Roncato
<http://viaf.org/viaf/37285018>	Achille Sannia
<http://viaf.org/viaf/67248515>	Achille Sclavo
<http://viaf.org/viaf/29664646>	Achille Segard
<http://viaf.org/viaf/16505231>	Achille Serpieri
<http://viaf.org/viaf/85931150>	Achille Serpieri
<http://viaf.org/viaf/79427971>	Achille Serra
<http://viaf.org/viaf/703796>	Achille Serrao
<http://viaf.org/viaf/95460581>	Achille Silvestrini
<http://viaf.org/viaf/41832959>	Achille Starace
<http://viaf.org/viaf/90231999>	Achille Stuani
<http://viaf.org/viaf/59150109>	Achille Tartaro
<http://viaf.org/viaf/57408242>	Achille Tazio
<http://viaf.org/viaf/7544159477835627990000>	Achille Tazio
<http://viaf.org/viaf/89002230>	Achille Tazio
<http://viaf.org/viaf/90214256>	Achille Tellini
<http://viaf.org/viaf/170737229>	Achille Togliani
<http://viaf.org/viaf/29523336>	Achille Torelli
<http://viaf.org/viaf/20793479>	Achille Varzi
<http://viaf.org/viaf/69104236>	Achille Varzi
<http://viaf.org/viaf/89533482>	Achille Vertunni
<http://viaf.org/viaf/34728567>	Achille Vianelli
<http://viaf.org/viaf/10728939>	Achille Vogliano
<http://viaf.org/viaf/56875452>	Achille-Félix Montaubry
<http://viaf.org/viaf/273638236>	Achille-Théophile-Louis Ribadeau-Dumas
<http://viaf.org/viaf/64112750>	Achilles Pirminius Gasser
<http://viaf.org/viaf/54273421>	Achim Arbeiter
<http://viaf.org/viaf/39875952>	Achim Fahs
<http://viaf.org/viaf/13555366>	Achmed Abdullah
<http://viaf.org/viaf/78625722>	Achsah Barlow Brewster
<http://viaf.org/viaf/81326957>	Acruto Vitali
<http://viaf.org/viaf/5063259>	Ada Alessandrini
<http://viaf.org/viaf/90321258>	Ada Amaraschi
<http://viaf.org/viaf/122103060>	Ada Ascarelli Sereni
<http://viaf.org/viaf/48475914>	Ada Becchi
<http://viaf.org/viaf/62834192>	Ada Boni
<http://viaf.org/viaf/73777662>	Ada Campione
<http://viaf.org/viaf/1593159478275827990008>	Ada D'Aloja
<http://viaf.org/viaf/315245499>	Ada D'Aloja
<http://viaf.org/viaf/179946188>	Ada Dondini
<http://viaf.org/viaf/37539404>	Ada Francesca Marcianò
<http://viaf.org/viaf/74942813>	Ada Gabucci
<http://viaf.org/viaf/59351879>	Ada Gentile
<http://viaf.org/viaf/333144782709938652989>	Ada Gigli Marchetti
<http://viaf.org/viaf/44363368>	Ada Gigli Marchetti
<http://viaf.org/viaf/17223332>	Ada Gobetti
<http://viaf.org/viaf/106694991>	Ada Grilli Bonini
<http://viaf.org/viaf/22449540>	Ada Grossi
<http://viaf.org/viaf/4775457>	Ada Legrenzi
<http://viaf.org/viaf/54506750>	Ada Maviglia
